Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
4.730224609375e-05	2300000	1178	11.62	13.23	0.095125
4.8931439717610674e-05	2310000	1182	11.77	13.23	0.0950875
4.8220157623291016e-05	2320000	1185	11.89	13.23	0.09505000000000001
4.2661031087239584e-05	2330000	1188	11.76	13.23	0.0950125
2.3865699768066405e-05	2340000	1193	11.81	13.23	0.094975
4.6265125274658206e-05	2350000	1196	11.71	13.23	0.09493750000000001
4.549423853556315e-05	2360000	1200	11.59	13.23	0.09490000000000001
4.9396355946858725e-05	2370000	1203	11.54	13.23	0.0948625
4.4004122416178385e-05	2380000	1207	11.57	13.23	0.094825
4.7596295674641925e-05	2390000	1212	11.63	13.23	0.09478750000000001
4.1039784749348957e-05	2400000	1216	11.66	13.23	0.09475
4.442930221557617e-05	2410000	1219	11.58	13.23	0.0947125
4.1472911834716794e-05	2420000	1223	11.48	13.23	0.09467500000000001
5.0461292266845704e-05	2430000	1226	11.55	13.23	0.0946375
4.2442480723063154e-05	2440000	1230	11.47	13.23	0.0946
4.433790842692057e-05	2450000	1234	11.34	13.23	0.09456250000000001
4.661083221435547e-05	2460000	1238	11.55	13.23	0.094525
2.2057692209879557e-05	2470000	1242	11.72	13.23	0.0944875
3.7793318430582685e-05	2480000	1246	11.78	13.23	0.09445
4.543066024780274e-05	2490000	1250	11.91	13.23	0.09441250000000001
4.679361979166667e-05	2500000	1254	12.32	13.23	0.094375
4.663864771525065e-05	2510000	1258	12.7	13.23	0.0943375
4.309813181559245e-05	2520000	1262	12.97	13.23	0.09430000000000001
5.3592522939046224e-05	2530000	1267	13.18	13.23	0.0942625
4.778703053792318e-05	2540000	1270	13.31	13.31	0.094225
3.9867560068766276e-05	2550000	1274	13.42	13.42	0.09418750000000001
2.645254135131836e-05	2560000	1278	13.78	13.78	0.09415000000000001
2.1028518676757813e-05	2570000	1282	13.9	13.91	0.0941125
4.376570383707682e-05	2580000	1285	13.89	13.92	0.094075
4.836718241373698e-05	2590000	1289	14.0	14.0	0.09403750000000001
4.752079645792643e-05	2600000	1294	14.0	14.03	0.094
4.2271614074707034e-05	2610000	1298	14.14	14.14	0.0939625
4.331270853678385e-05	2620000	1302	14.28	14.28	0.09392500000000001
4.0141741434733075e-05	2630000	1306	14.2	14.28	0.0938875
4.779895146687825e-05	2640000	1310	14.2	14.28	0.09385
4.913806915283203e-05	2650000	1314	14.15	14.28	0.09381250000000001
5.090634028116862e-05	2660000	1318	14.22	14.28	0.09377500000000001
4.512468973795573e-05	2670000	1322	14.24	14.29	0.0937375
5.04295031229655e-05	2680000	1325	14.23	14.31	0.0937
4.3721993764241535e-05	2690000	1330	14.46	14.46	0.09366250000000001
5.558331807454427e-05	2700000	1334	14.56	14.56	0.093625
4.403193791707357e-05	2710000	1338	14.6	14.61	0.0935875
5.016326904296875e-05	2720000	1343	14.74	14.74	0.09355000000000001
4.811684290568034e-05	2730000	1347	14.87	14.87	0.0935125
4.296700159708659e-05	2740000	1352	15.01	15.01	0.093475
6.476640701293945e-05	2750000	1356	14.96	15.02	0.0934375
4.654725392659505e-05	2760000	1361	15.07	15.08	0.09340000000000001
9.19938087463379e-05	2770000	1365	15.2	15.2	0.0933625
4.970232645670573e-05	2780000	1369	15.32	15.32	0.093325
5.2877267201741536e-05	2790000	1373	15.3	15.33	0.09328750000000001
4.758040110270182e-05	2800000	1378	15.41	15.41	0.09325
3.757874170939128e-05	2810000	1382	15.42	15.42	0.0932125
3.9347012837727864e-05	2820000	1386	15.57	15.57	0.09317500000000001
4.7202905019124346e-05	2830000	1391	15.68	15.71	0.09313750000000001
4.791418711344401e-05	2840000	1396	15.79	15.8	0.0931
4.718701044718424e-05	2850000	1400	15.93	15.93	0.0930625
4.813671112060547e-05	2860000	1405	16.04	16.08	0.09302500000000001
4.9225489298502605e-05	2870000	1410	16.18	16.18	0.0929875
4.842678705851237e-05	2880000	1414	16.28	16.28	0.09295
4.61737314860026e-05	2890000	1419	16.23	16.31	0.09291250000000001
3.94900639851888e-05	2900000	1423	16.34	16.34	0.092875
4.2267640431722005e-05	2910000	1428	16.47	16.48	0.0928375
4.167954126993815e-05	2920000	1433	16.72	16.72	0.09280000000000001
5.104939142862956e-05	2930000	1438	16.71	16.73	0.0927625
4.907449086507162e-05	2940000	1442	16.73	16.73	0.092725
4.662275314331055e-05	2950000	1447	16.71	16.73	0.0926875
2.4036566416422525e-05	2960000	1451	16.7	16.77	0.09265000000000001
4.736185073852539e-05	2970000	1456	16.79	16.79	0.0926125
4.638830820719401e-05	2980000	1461	16.74	16.79	0.092575
4.862149556477865e-05	2990000	1465	16.82	16.82	0.09253750000000001
4.2891502380371095e-05	3000000	1470	16.8	16.85	0.0925
4.936854044596354e-05	3010000	1474	16.89	16.89	0.0924625
4.441340764363607e-05	3020000	1478	16.84	16.89	0.09242500000000001
4.8331419626871745e-05	3030000	1483	16.93	16.93	0.09238750000000001
4.564921061197917e-05	3040000	1487	16.96	16.96	0.09235
4.050334294637044e-05	3050000	1492	16.92	16.96	0.0923125
4.499355951944987e-05	3060000	1497	16.96	17.02	0.09227500000000001
2.5892257690429686e-05	3070000	1502	16.98	17.02	0.0922375
4.642804463704427e-05	3080000	1506	16.98	17.02	0.0922
7.22805658976237e-05	3090000	1511	17.03	17.03	0.09216250000000001
4.600286483764648e-05	3100000	1516	17.01	17.03	0.09212500000000001
4.554192225138347e-05	3110000	1521	17.18	17.19	0.0920875
3.2107035319010414e-05	3120000	1526	17.24	17.24	0.09205
7.336139678955078e-05	3130000	1530	17.16	17.25	0.09201250000000001
4.590749740600586e-05	3140000	1535	17.2	17.25	0.091975
4.464387893676758e-05	3150000	1540	17.32	17.32	0.0919375
4.5458475748697914e-05	3160000	1545	17.24	17.32	0.09190000000000001
4.7270456949869795e-05	3170000	1550	17.33	17.33	0.0918625
3.786484400431315e-05	3180000	1555	17.41	17.41	0.091825
5.1093101501464846e-05	3190000	1560	17.45	17.45	0.09178750000000001
4.862546920776367e-05	3200000	1564	17.37	17.45	0.09175
4.263718922932943e-05	3210000	1569	17.5	17.5	0.0917125
5.59687614440918e-05	3220000	1574	17.57	17.58	0.091675
5.7013829549153644e-05	3230000	1579	17.61	17.61	0.09163750000000001
5.849997202555339e-05	3240000	1584	17.63	17.64	0.0916
5.090634028116862e-05	3250000	1589	17.68	17.69	0.0915625
4.8991044362386065e-05	3260000	1594	17.61	17.69	0.09152500000000001
5.116462707519531e-05	3270000	1598	17.71	17.71	0.0914875
2.104043960571289e-05	3280000	1603	17.75	17.75	0.09145
5.0628185272216796e-05	3290000	1608	17.71	17.76	0.09141250000000001
4.553794860839844e-05	3300000	1613	17.74	17.76	0.091375
4.139343897501628e-05	3310000	1618	17.71	17.77	0.0913375
4.287163416544596e-05	3320000	1622	17.66	17.77	0.0913
4.10159428914388e-05	3330000	1627	17.64	17.77	0.09126250000000001
4.867712656656901e-05	3340000	1632	17.75	17.77	0.091225
4.796584447224935e-05	3350000	1637	17.74	17.78	0.0911875
3.9966901143391925e-05	3360000	1642	17.72	17.78	0.09115000000000001
2.126296361287435e-05	3370000	1646	17.83	17.83	0.0911125
5.0350030263264975e-05	3380000	1651	17.83	17.85	0.091075
5.043745040893555e-05	3390000	1656	17.78	17.85	0.09103750000000001
4.5351187388102214e-05	3400000	1661	17.84	17.85	0.091
7.691383361816407e-05	3410000	1666	17.85	17.89	0.0909625
4.8001607259114586e-05	3420000	1670	17.79	17.89	0.090925
4.645188649495443e-05	3430000	1675	17.83	17.89	0.09088750000000001
3.678401311238607e-05	3440000	1679	17.73	17.89	0.09085
2.0706653594970702e-05	3450000	1684	17.74	17.89	0.0908125
5.340576171875e-05	3460000	1690	17.83	17.89	0.09077500000000001
4.884799321492513e-05	3470000	1694	17.83	17.89	0.0907375
4.299481709798177e-05	3480000	1699	17.81	17.89	0.0907
4.303852717081706e-05	3490000	1704	17.83	17.89	0.09066250000000001
4.8438707987467446e-05	3500000	1709	17.92	17.92	0.09062500000000001
5.050500233968099e-05	3510000	1714	17.84	17.95	0.0905875
4.556179046630859e-05	3520000	1719	17.93	17.95	0.09055
4.456043243408203e-05	3530000	1724	17.97	18.02	0.09051250000000001
4.674593607584635e-05	3540000	1728	18.0	18.06	0.090475
4.666646321614583e-05	3550000	1733	17.88	18.06	0.0904375
4.86453374226888e-05	3560000	1737	17.85	18.06	0.09040000000000001
4.07099723815918e-05	3570000	1742	17.85	18.06	0.0903625
4.975001017252604e-05	3580000	1747	17.75	18.06	0.090325
3.992716471354167e-05	3590000	1752	17.85	18.06	0.0902875
4.696846008300781e-05	3600000	1757	17.8	18.06	0.09025
2.7477741241455078e-05	3610000	1761	17.84	18.06	0.0902125
4.51207160949707e-05	3620000	1766	17.73	18.06	0.090175
4.302263259887695e-05	3630000	1770	17.76	18.06	0.09013750000000001
4.985332489013672e-05	3640000	1776	17.84	18.06	0.0901
4.581610361735026e-05	3650000	1781	17.97	18.06	0.0900625
4.994074503580729e-05	3660000	1785	17.83	18.06	0.09002500000000001
4.1643778483072914e-05	3670000	1790	17.77	18.06	0.0899875
3.910064697265625e-05	3680000	1795	17.87	18.06	0.08995
4.088878631591797e-05	3690000	1800	17.77	18.06	0.0899125
5.2046775817871096e-05	3700000	1805	17.64	18.06	0.08987500000000001
5.1303704579671225e-05	3710000	1810	17.65	18.06	0.0898375
4.6352545420328774e-05	3720000	1815	17.65	18.06	0.0898
4.8391024271647136e-05	3730000	1820	17.53	18.06	0.08976250000000001
4.835923512776693e-05	3740000	1825	17.56	18.06	0.089725
4.498163859049479e-05	3750000	1829	17.57	18.06	0.0896875
4.167954126993815e-05	3760000	1835	17.63	18.06	0.08965000000000001
4.647970199584961e-05	3770000	1840	17.64	18.06	0.08961250000000001
4.122257232666016e-05	3780000	1845	17.77	18.06	0.089575
4.83552614847819e-05	3790000	1850	17.69	18.06	0.0895375
4.1667620340983076e-05	3800000	1854	17.54	18.06	0.08950000000000001
4.545052846272786e-05	3810000	1859	17.59	18.06	0.0894625
4.2597452799479164e-05	3820000	1864	17.71	18.06	0.089425
4.123846689860026e-05	3830000	1869	17.76	18.06	0.08938750000000001
4.209280014038086e-05	3840000	1874	17.69	18.06	0.08935
4.869302113850911e-05	3850000	1879	17.62	18.06	0.0893125
4.6241283416748044e-05	3860000	1883	17.63	18.06	0.08927500000000001
4.189014434814453e-05	3870000	1887	17.66	18.06	0.0892375
4.5466423034667966e-05	3880000	1892	17.58	18.06	0.0892
